date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:34	131/131	---MC-	200	added ('OK')	text/plain	date:Sun,%2006%20Jun%202021%2018:07:33%20GMT	https://cursosobrancelhasperfeitas.com/robots.txt		(from )
15:07:34	167730/167730	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Jun%202021%2018:07:33%20GMT	https://cursosobrancelhasperfeitas.com/?ref=O54789394D	/home/usuario/websites/official/cursosobrancelhasperfeitas.com/index4278.html	(from )
15:07:35	58171/58171	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Apr%202021%2013:30:59%20GMT	https://cursosobrancelhasperfeitas.com/wp-includes/css/dist/block-library/style.min.css?ver=5.7.2	/home/usuario/websites/official/cursosobrancelhasperfeitas.com/wp-includes/css/dist/block-library/style.min9f31.css	(from https://cursosobrancelhasperfeitas.com/?ref=O54789394D)
15:07:36	2038/2038	---MC-	200	added ('OK')	application/rss+xml	etag:%22bef39a9bd9da1666d980c9402939caff%22	https://cursosobrancelhasperfeitas.com/feed/	/home/usuario/websites/official/cursosobrancelhasperfeitas.com/feed/index.html	(from https://cursosobrancelhasperfeitas.com/?ref=O54789394D)
15:07:36	6630/6630	---M--	200	added ('OK')	text/css	date:Tue,%2013%20Apr%202021%2021:06:07%20GMT	https://cursosobrancelhasperfeitas.com/wp-content/themes/hello-elementor/style.min.css?ver=2.3.1	/home/usuario/websites/official/cursosobrancelhasperfeitas.com/wp-content/themes/hello-elementor/style.min254d.css	(from https://cursosobrancelhasperfeitas.com/?ref=O54789394D)
15:07:37	1733/1733	---MC-	200	added ('OK')	application/rss+xml	etag:%229082b5629fa261ebec50b1b7d70ffb56%22	https://cursosobrancelhasperfeitas.com/comments/feed/	/home/usuario/websites/official/cursosobrancelhasperfeitas.com/comments/feed/index.html	(from https://cursosobrancelhasperfeitas.com/?ref=O54789394D)
15:07:37	5403/5403	---M--	200	added ('OK')	text/css	date:Tue,%2013%20Apr%202021%2021:06:07%20GMT	https://cursosobrancelhasperfeitas.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.3.1	/home/usuario/websites/official/cursosobrancelhasperfeitas.com/wp-content/themes/hello-elementor/theme.min254d.css	(from https://cursosobrancelhasperfeitas.com/?ref=O54789394D)
15:07:38	17232/17232	---M--	200	added ('OK')	text/css	date:Mon,%2010%20May%202021%2015:39:27%20GMT	https://cursosobrancelhasperfeitas.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.11.0	/home/usuario/websites/official/cursosobrancelhasperfeitas.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min21f9.css	(from https://cursosobrancelhasperfeitas.com/?ref=O54789394D)
15:07:39	18468/18468	---M--	200	added ('OK')	text/css	date:Mon,%2010%20May%202021%2015:39:27%20GMT	https://cursosobrancelhasperfeitas.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.2.3	/home/usuario/websites/official/cursosobrancelhasperfeitas.com/wp-content/plugins/elementor/assets/lib/animations/animations.mine5ca.css	(from https://cursosobrancelhasperfeitas.com/?ref=O54789394D)
15:07:41	117828/117828	---M--	200	added ('OK')	text/css	date:Mon,%2010%20May%202021%2015:39:27%20GMT	https://cursosobrancelhasperfeitas.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.2.3	/home/usuario/websites/official/cursosobrancelhasperfeitas.com/wp-content/plugins/elementor/assets/css/frontend.mine5ca.css	(from https://cursosobrancelhasperfeitas.com/?ref=O54789394D)
